player,angle,length,angle_degrees
Eriksen,-1.4795471,30.727837,275.22819557917967
Eriksen,1.3593454,19.535097,77.8847543205227
Eriksen,-0.7393386,35.32209,317.63901858888903
Eriksen,-2.611471,31.643167,210.3737333791914
Eriksen,-0.8572741,17.72343,310.88181218412393
Eriksen,1.3939203,21.028076,79.86575016760956
Eriksen,-1.6288705,8.614523,266.6725949766358
Eriksen,-1.252346,9.581754,288.2458597099094
Eriksen,-1.2101045,24.368011,290.6661193802113
Eriksen,1.3699994,23.06339,78.49518355545507
Eriksen,-0.45629972,66.949684,333.8559518509988
Eriksen,-0.15160549,14.567086,351.3136452719872
Eriksen,1.0881397,58.819214,62.34581233063154
Eriksen,2.078533,15.220053,119.09116847866555
Eriksen,-0.16566019,32.140007,350.5083702796647
Eriksen,0.36397895,6.7416615,20.854457666603217
Eriksen,2.028365,14.713599,116.21675381205323
Eriksen,2.9669204,10.357606,169.992017071266
Eriksen,-0.37677968,44.845737,338.41211452971027
Eriksen,2.8153377,14.040655,161.30696811406833
Eriksen,2.4171517,15.0894,138.4925908528721
Eriksen,2.517095,27.36494,144.21892013348193
Eriksen,0.68075895,15.570806,39.00461470075743
Eriksen,1.2454997,17.835358,71.36187619481018
Eriksen,1.6378099,14.933519,93.8395949147434
Eriksen,0.16469944,36.59522,9.436582800168132
Eriksen,2.1103075,18.882002,120.91171322480396
Eriksen,-0.34555557,10.628264,340.2011242517625
Eriksen,-1.6110971,12.410076,267.69093578423366
Eriksen,0.8772888,62.418026,50.26494565409657
Eriksen,-0.65962875,6.2008066,322.2060565795099
Eriksen,0.09527382,29.433485,5.458787784089092
Eriksen,-0.75762755,5.0931325,316.59113894216324
Eriksen,-0.04823841,14.516887,357.2361426965783
Eriksen,2.4336648,15.532225,139.4387217895496
Eriksen,2.7950537,7.6550636,160.14478052242495
Eriksen,2.0200565,31.084562,115.74071182796878
Eriksen,1.5777892,28.600698,90.40066212132255
Eriksen,-2.7201734,6.3560996,204.1455446362485
Eriksen,2.7610862,18.848078,158.19858613181432
Eriksen,0.931274,15.080119,53.358069770266226
Eriksen,2.7331038,7.300685,156.59531271116745
Eriksen,2.3996453,9.767292,137.4895480184043
Eriksen,-2.7421997,33.43112,202.8835306079595
Eriksen,2.000796,31.904388,114.63716646665705
Eriksen,1.687127,52.55521,96.66525660256804
Eriksen,-0.12229172,18.034689,352.9932005746044
Eriksen,2.6273062,22.971504,150.53355674855416
Eriksen,-0.90240806,41.792942,308.29582676341164
Eriksen,2.8720036,15.769591,164.5536850263787
Eriksen,-1.565588,19.20026,270.29841514367246
Eriksen,0.59619915,10.151355,34.1596950442871
Eriksen,1.5707964,10.2,90.00000419434348
Eriksen,0.8938815,50.28807,51.2156373348233
Eriksen,1.3247029,21.755459,75.89988527874074
Eriksen,1.3125441,5.481788,75.20323735479708
Eriksen,-0.94445276,41.966175,305.88684290251797
Eriksen,-1.1642295,7.839005,293.29456326537394
Eriksen,1.6859866,12.180722,96.59991649561131
Eriksen,2.143924,16.781538,122.83779679680552
Eriksen,-0.16514868,6.0827627,350.53767764384344
Eriksen,1.5331572,23.916939,87.84343689009465
Eriksen,1.4766697,28.727165,84.60694154484942
Eriksen,-1.9268471,12.909686,249.59979340297792
Eriksen,0.7942475,7.9906197,45.50702963881685
Eriksen,-0.42707855,18.348024,335.53020156443307
Eriksen,-1.9561728,11.438969,247.9195545617111
Eriksen,1.300226,14.217243,74.49746221317699
Eriksen,1.6367201,51.61211,93.77715397423005
Eriksen,1.3932002,35.660904,79.8244914767822
Eriksen,-2.9969153,15.259423,188.28940175181705
Eriksen,-3.1071236,14.508618,181.9749312945054
Eriksen,1.7539071,13.72953,100.49147448802962
Eriksen,-0.816396,18.252123,313.2239547886376
Eriksen,2.6811247,28.129877,153.61712965827897
Eriksen,0.7629804,15.772445,43.71555677120335
Eriksen,2.9821193,14.483784,170.8628498945074
Eriksen,-1.4364749,7.467262,277.69605085352305
Eriksen,-1.9449401,17.511425,248.5631408642477
Eriksen,0.914484,59.324867,52.396073632241574
Eriksen,-2.913096,13.244244,193.09189388355793
